chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
00095647,15000,0.046321371,53025,1144720,0.000875633,1250,1427538,1142.0304,0.000870826,1237,1420491,1148.335489,0.002492096,3540,1420491,401.2686441,2202,0.42,0.42,0.054963373,46227,841051,0.023640632,7502,317335,0.000617392,877,1420491,1619.716078
001e7682,08105,0.136097341,1208,8876,0.001150341,13,11301,869.3076923,0.000622222,7,11250,1607.142857,0.000266667,3,11250,3750,5389,0.31,0.29,0.160169094,1023,6387,0.076341648,202,2646,0.001066667,12,11250,937.5
0021f7b0,21231,0.07795615,1248,16009,0.000627534,13,20716,1593.538462,0.000293141,6,20468,3411.333333,0.000928278,19,20468,1077.263158,4929,0.29,0.25,0.090992878,1086,11935,0.040101994,173,4314,0.000879422,18,20468,1137.111111
004c847a,55057,0.080723134,1603,19858,0.000827815,22,26576,1208,0.00033813,9,26617,2957.444444,0.001239809,33,26617,806.5757576,3086,0.39,0.29,0.090735565,1331,14669,0.053479854,292,5460,0.000826539,22,26617,1209.863636
004e4668,55139,0.053401786,7302,136737,0.000803925,137,170414,1243.89781,0.000619811,106,171020,1613.396226,0.002257046,386,171020,443.0569948,3037,0.56,0.55,0.060526007,6186,102204,0.033673554,1224,36349,0.001227927,210,171020,814.3809524
006396a5,51143,0.128363193,5997,46719,0.000081622,5,61258,12251.6,0.000147664,9,60949,6772.111111,0.000196886,12,60949,5079.083333,3750,0.44,0.5,0.1528601,5390,35261,0.055107748,670,12158,0.000246107,15,60949,4063.266667
00675223,28013,0.187682028,2191,11674,0.000138007,2,14492,7246,0.000207814,3,14436,4812,0.0000692713,1,14436,14436,4297,0.33,0.41,0.234643587,1952,8319,0.073329558,259,3532,0.00055417,8,14436,1804.5
006df1e0,24001,0.058771464,2988,50841,0.000530615,38,71615,1884.605263,0.000746742,53,70975,1339.150943,0.003029236,215,70975,330.1162791,4853,0.48,0.43,0.068472868,2636,38497,0.029970872,391,13046,0.001535752,109,70975,651.146789
007505fa,26001,0.088091603,577,6550,0.000579654,6,10351,1725.166667,0.0000965065,1,10362,10362,0.000579039,6,10362,1727,2588,0.45,0.28,0.098522168,520,5278,0.046666667,63,1350,0.000579039,6,10362,1727
007a0db1,30055,0.166403786,211,1268,0,0,1718,-1718,0,0,1675,-1675,NULL,0,1675,NULL,2474,0.41,0.44,0.151939655,141,928,0.201680672,72,357,0.000597015,1,1675,1675
